Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.331,0.7757433,0.414,19.14065,0.414,8.77287,0.331,3.422758,0.828,0,0.828,0.08800017,,,,,0.823,6.750196,0.331,0.126966,1.648,24.07408,
0.333,0.9036013,0.417,21.12818,0.417,9.6298,0.334,3.422601,0.835,0,0.835,0.08800017,,,,,0.829,6.746966,0.333,0.1272686,1.661,24.07567,
0.336,1.041271,0.421,23.25475,0.421,10.54656,0.336,3.422349,0.841,0,0.841,0.08800017,,,,,0.836,6.744725,0.336,0.1275977,1.674,24.07699,
0.339,1.191383,0.424,25.53117,0.424,11.53384,0.339,3.422383,0.847,0,0.847,0.08800017,,,,,0.842,6.74264,0.339,0.1277469,1.687,24.0786,
0.341,1.343749,0.427,28.01906,0.427,12.58836,0.341,3.4224,0.854,0,0.854,0.08800017,,,,,0.849,6.741467,0.341,0.1271508,1.7,24.08032,
0.344,1.536065,0.43,30.6918,0.43,13.72007,0.344,3.422497,0.86,0,0.86,0.08800017,,,,,0.855,6.740679,0.344,0.1271479,1.712,24.08252,
0.346,1.755575,0.434,33.6271,0.434,14.96683,0.346,3.422432,0.867,0,0.867,0.08800017,,,,,0.861,6.740392,0.346,0.1278963,1.725,24.08401,
0.349,2.011032,0.437,36.79464,0.437,16.34004,0.349,3.42244,0.873,0,0.873,0.08800017,,,,,0.868,6.740664,0.349,0.1275243,1.738,24.08453,
0.351,2.276874,0.44,40.284,0.44,17.76463,0.352,3.422329,0.88,0,0.88,0.08800017,,,,,0.874,6.741183,0.351,0.1275847,1.751,24.08419,
0.354,2.590622,0.443,44.03954,0.443,19.32225,0.354,3.422326,0.886,0,0.886,0.08800017,,,,,0.881,6.742192,0.354,0.1284185,1.764,24.08344,
0.357,2.939267,0.446,48.06252,0.446,20.99187,0.357,3.422363,0.892,0,0.892,0.08800017,,,,,0.887,6.743498,0.357,0.1281161,1.777,24.08271,
0.359,3.29865,0.45,52.47466,0.45,22.83504,0.359,3.422209,0.899,0,0.899,0.08800017,,,,,0.894,6.745438,0.359,0.1285912,1.79,24.0822,
0.362,3.701756,0.453,57.34184,0.453,24.82761,0.362,3.42231,0.905,0,0.905,0.08800017,,,,,0.9,6.74736,0.362,0.1280673,1.802,24.08188,
